embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1,TED
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,5,0.6659589830740997,0.8621279321900256,0.5789676590608756,0.6147209823475813,0.6716675343240175,0.501220732796954,1304.0
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,16,0.36185599790451867,0.9090380445495762,0.31259763203911134,0.5226970388474749,0.38218137522759527,0.3427362469807114,1304.0
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,53,0.279508678554771,0.9693780800315395,0.2636735025538009,0.5197592644869582,0.3114170241095145,0.3091533751655239,1304.0
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,156,0.34626308516620224,0.9913315592351666,0.3415955554934314,0.5016061527176439,0.39261890077623357,0.3602142577713601,1304.0
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,474,0.43582642523312054,0.9980011827321111,0.4322137707997141,0.5014456295695016,0.49709145003144783,0.49037180425025356,1304.0
Qwen/Qwen3-Embedding-0.6B,PCA,DC,5,0.49229556281739006,0.7136112753794599,0.29575141565693824,0.41693612205370406,0.6032244765541739,0.4581168424690129,1492.0
Qwen/Qwen3-Embedding-0.6B,PCA,DC,16,0.38747942937447294,0.9152483737433471,0.34190065448465856,0.5351122579280642,0.3948053257257339,0.3411010448349624,1492.0
Qwen/Qwen3-Embedding-0.6B,PCA,DC,53,0.30201992752417717,0.9695288783757146,0.28588691111201037,0.521380754894675,0.33141073872281357,0.2872884775650342,1492.0
Qwen/Qwen3-Embedding-0.6B,PCA,DC,156,0.31378376233344285,0.9904169130691898,0.3077359159097176,0.45811980632323784,0.34928269318512245,0.3064744857234597,1492.0
Qwen/Qwen3-Embedding-0.6B,PCA,DC,474,0.22676435718229987,0.9971190616991918,0.22264221291585662,0.28474955679524844,0.28788105562585875,0.33385844359649536,1492.0
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,5,0.4566055765378909,0.2184092253104672,-0.00041515468373595733,0.0023278690901620386,0.3871969944603557,0.32550528601357614,1682.0
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,16,0.2558474780546133,0.10681647940074906,0.0006993139172619445,0.015084770114867516,0.23961806855946077,0.21803261272497845,1682.0
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,53,0.1368046601355354,0.13589394835403115,0.0008570185668613214,0.02866882085780693,0.18753434773747335,0.17721349871613978,1682.0
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,156,0.07099251189779847,0.2951222156514883,0.0007533167288486867,0.03616792983376491,0.2530547099503094,0.2318031715294768,1682.0
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,474,0.07176390100727018,0.9102454169130691,0.015605160111422933,0.2827258131362518,0.40827568876024933,0.38471786254708223,1682.0
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,5,0.6297346807050621,0.8262329982259018,0.5150315470764351,0.6302055018891244,0.6793626370030678,0.49178573830629085,1342.0
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,16,0.34440298151847976,0.9034979302188054,0.29163932873884585,0.5469171707222585,0.41429633354343837,0.3539096979407004,1342.0
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,53,0.27899711889541107,0.9657254090281885,0.2591101623132393,0.5373147589887686,0.29413565633506855,0.2732832695289137,1342.0
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,156,0.2635205935393714,0.9887719298245614,0.2544669460832486,0.44614664286116046,0.3242170164613716,0.3064142965967233,1342.0
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,474,0.28593844838911403,0.9971476443918785,0.2783735456197494,0.3639406809615908,0.38380126328393854,0.39259082383392024,1342.0
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,5,0.5808244979132993,0.8159875813128327,0.462795826974376,0.5492909714454388,0.6468230175809458,0.4630360080627472,1482.0
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,16,0.39813035081749315,0.9025763847821802,0.3417321972931016,0.5343079637534941,0.4076971613346899,0.35707016881133496,1482.0
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,53,0.26778616423039187,0.9663286024048886,0.2491322697335755,0.49386293916124424,0.28168917680851735,0.24808344877328523,1482.0
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,156,0.25254144812260354,0.9892095407056968,0.2453956984743797,0.4048145817497751,0.2814038039153335,0.2785403633964241,1482.0
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,474,0.1971728041009086,0.9971703134240094,0.19462268860586343,0.24827895436080474,0.25642204887107395,0.28789826993324263,1482.0
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,5,0.4487659886743267,0.25971417307313227,0.0074153091631794935,0.059180745398736016,0.4701166985090863,0.3739306999145344,1620.0
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,16,0.2393927991265973,0.2198935541099941,0.0016549992363859413,0.11073689752765638,0.26597458148697417,0.23411919315318533,1620.0
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,53,0.15140904806853947,0.47990242460082794,0.01858188986433854,0.2742609756220575,0.2547946126874238,0.23031866610161109,1620.0
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,156,0.12644827789263413,0.8349122807017544,0.035705463735131476,0.4211007734139209,0.32839183472156747,0.26861374391604104,1620.0
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,474,0.08187818175655776,0.944384979302188,0.023787078898060834,0.3019526687748541,0.3264857880535311,0.342494203541783,1620.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,5,0.7209671087888277,0.8807559629410605,0.6451190528860067,0.6897856453250923,0.7544121527898477,0.5583988888957149,1380.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,16,0.4091130320617965,0.9144470727380248,0.3624135986490023,0.5689509653553144,0.44774159333122515,0.38984165152844186,1380.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,53,0.29619572258881655,0.9701379854129706,0.28075241846158,0.5317441097185233,0.3084409664417119,0.2890952438141791,1380.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,156,0.3219694589219118,0.9906041789867929,0.3161682331392656,0.46336829194957696,0.34529013697453054,0.3048434970960507,1380.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,474,0.250607777989925,0.996766213286024,0.24023046950395396,0.3329729163488849,0.3230801427305872,0.34703775181198704,1380.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,5,0.4856186952029972,0.7377439384979302,0.3100376029237176,0.44371140010308807,0.5625402509858347,0.42232306751885207,1450.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,16,0.3657123366573645,0.9112014587029371,0.3178493821140071,0.5208474442506332,0.34032255258228594,0.29535749197698247,1450.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,53,0.25058917490095517,0.9679390892962744,0.2339824967955065,0.4767913300840313,0.2456259777556533,0.21157852710223096,1450.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,156,0.24075284275879089,0.9896077271831264,0.23492228338187346,0.3753771709875737,0.24844987670521868,0.24635783314049522,1450.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,474,0.1376305058410733,0.9970352848413168,0.1356460157926502,0.18223768699521564,0.19330316070608228,0.2374971718363896,1450.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,5,0.5480109748437935,0.611428149024246,0.2663327762339569,0.42062063015089246,0.6008797373486666,0.46353255798318344,1598.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,16,0.3038071489446816,0.7266223142124976,0.14373090703685565,0.42619178502417726,0.3436690117068142,0.313851191828586,1598.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,53,0.21006265506045393,0.8626631184703332,0.10850785039293433,0.4940198570342966,0.2991789963514728,0.2480473763384893,1598.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,156,0.2562911002202236,0.9793278139168146,0.21123561254393955,0.47616024803143026,0.3183624756368373,0.3172709134465552,1598.0
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,474,0.2179144990133958,0.9936506997831658,0.17351608937009055,0.3607470524817852,0.2702867561951272,0.33995276092203364,1598.0
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,5,0.6711226295960683,0.8639256849990143,0.5852327525466544,0.6304166784742065,0.6911083567558236,0.5297236454596317,1318.0
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,16,0.42195437603419056,0.9169239109008476,0.3767134823539025,0.5592771666121958,0.4345621556686042,0.3867390747136373,1318.0
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,53,0.3187431936575491,0.9716203429923123,0.3041930603029177,0.5449445194915891,0.3349565089354517,0.31788029775636595,1318.0
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,156,0.3554859728002645,0.9915217819830475,0.3510071494525786,0.5078759879929533,0.3957870599997972,0.3892340117411335,1318.0
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,474,0.43689561077106365,0.9979923122412774,0.43301708542990164,0.503930267332687,0.5159823213722786,0.4944894123248873,1318.0
Qwen/Qwen3-Embedding-0.6B,Raw,DC,5,0.6115951365898099,0.8318598462448256,0.5042270061758084,0.5583037728413397,0.6174403989684104,0.47760556003084187,1502.0
Qwen/Qwen3-Embedding-0.6B,Raw,DC,16,0.3802982074624742,0.9062359550561798,0.3282210127317904,0.5280997763349421,0.4060572249846421,0.3588681932098438,1502.0
Qwen/Qwen3-Embedding-0.6B,Raw,DC,53,0.31175819408579925,0.9702138773901045,0.29609202387347927,0.5284779415335743,0.3039285547069594,0.279069952040359,1502.0
Qwen/Qwen3-Embedding-0.6B,Raw,DC,156,0.30277618474492335,0.9902148630001971,0.2965521749139868,0.44510000789336746,0.3327887563095873,0.30018946919026435,1502.0
Qwen/Qwen3-Embedding-0.6B,Raw,DC,474,0.21795007235287825,0.9971259609698403,0.21429724088955698,0.274892661894497,0.29447350858502896,0.3233693752672545,1502.0
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,5,0.45899089566728574,0.21509461856889414,0.0004901983727692751,0.0006522773202582194,0.3821736874499443,0.34441322334386076,1690.0
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,16,0.254167614390591,0.09826434062684802,-0.0008797391953900817,0.009133944530861225,0.24647401529303406,0.21105238263132653,1690.0
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,53,0.1377841491554668,0.10891287206780997,0.0005017012253725639,0.01356229540660718,0.2014326266128636,0.19379467893763286,1690.0
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,156,0.0712790209653095,0.2739611669623497,0.000608272779870445,0.029573525791817674,0.2430671208083271,0.23463354149778973,1690.0
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,474,0.06550568305902497,0.8920017740981667,0.012504056833118095,0.26644282442219497,0.3982718600365166,0.35989584950522874,1690.0
