embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,DP_Lower,DP_Upper,LCA_F1,LCA_F1_Lower,LCA_F1_Upper,TED
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,5,0.7376861541838249,0.8831568022141792,0.6619663263964108,0.6814084703413421,0.7892398370192825,0.31942940499011274,1.0,0.6553905933153428,0.17544562167386457,1.0,1439.0
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,27,0.5762383767797019,0.9650530480448514,0.558013401636684,0.7298673075652476,0.6257522263410792,0.0,1.0,0.5314506533157429,0.0,1.0,1439.0
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,128,0.5773759474157618,0.9935730253353204,0.5739453113464184,0.6642201197603054,0.6128118684879669,0.0,1.0,0.5427028163724531,0.0,1.0,1439.0
Qwen/Qwen3-Embedding-0.6B,PCA,DC,5,0.512944398131128,0.7688285075580158,0.36138075553003624,0.4770746503883366,0.6899767385831119,0.15930235250130598,1.0,0.5871436128944493,0.16789862409151846,1.0,734.0
Qwen/Qwen3-Embedding-0.6B,PCA,DC,27,0.5739480704738478,0.9627643531332056,0.5536927539319948,0.6847293213210158,0.6242058173885714,0.0,1.0,0.5175027303081567,0.0,1.0,734.0
Qwen/Qwen3-Embedding-0.6B,PCA,DC,128,0.43402657851474963,0.9906101412248953,0.42699533358040703,0.5422920413021993,0.4942949616195758,0.0,1.0,0.48325694220680454,0.0,1.0,734.0
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,5,0.47850621064549015,0.2380819317294727,-0.0012118060443798333,-0.0016807245635051316,0.4576070332344357,0.0,1.0,0.42710932540037916,0.10069185690772608,0.7535267938930322,776.0
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,27,0.2204097228231097,0.29884323326946277,0.022407029714078118,0.18271138308479,0.3482080663655278,0.0,1.0,0.2969109999935548,0.0,0.8279611937566307,776.0
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,128,0.1004022852729335,0.6359866226669505,0.013637528271637783,0.23622761970329845,0.4423531550909804,0.0,1.0,0.41437424213717144,0.0,1.0,776.0
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,5,0.6393919717948727,0.8144959548648073,0.5136057786372223,0.6456917272301193,0.7077579129624394,0.19686531142103092,1.0,0.5709284497391962,0.12377537906930719,1.0,1432.0
